년,월,일,날짜,가격,동,층
24,04,06,24.04.06,1170000000,,10
24,03,18,24.03.18,1135000000,101,4
24,03,01,24.03.01,1140000000,103,19
23,11,29,23.11.29,1145000000,101,12
23,11,26,23.11.26,1190000000,103,7
23,09,12,23.09.12,1210000000,103,8
23,09,09,23.09.09,1140000000,103,3
23,07,12,23.07.12,1140000000,101,9
23,06,30,23.06.30,1190000000,106,8
23,06,19,23.06.19,1160000000,101,9
23,05,26,23.05.26,1035000000,101,1
23,04,19,23.04.19,1070000000,103,6
23,04,15,23.04.15,1185000000,103,14
23,04,07,23.04.07,1070000000,101,11
23,02,18,23.02.18,1040000000,101,6
22,05,07,22.05.07,1390000000,103,17
22,04,23,22.04.23,140000,103,20
22,04,05,22.04.05,1330000000,106,11
21,10,16,21.10.16,1420000000,101,10
21,10,11,21.10.11,1410000000,103,12
21,08,29,21.08.29,1375000000,101,14
21,08,17,21.08.17,1380000000,106,12
21,08,02,21.08.02,1365000000,101,15
21,07,17,21.07.17,1380000000,101,18
21,06,19,21.06.19,1290000000,101,3
21,05,29,21.05.29,1310000000,103,20
21,05,01,21.05.01,120000,103,3
21,03,31,21.03.31,1260000000,103,14
21,01,30,21.01.30,1225000000,101,8
20,12,30,20.12.30,120000,106,14
20,12,23,20.12.23,1185000000,103,9
20,12,20,20.12.20,1185000000,101,11
20,12,19,20.12.19,1070000000,106,1
20,12,07,20.12.07,1165000000,103,13
20,12,07,20.12.07,1060000000,103,1
20,12,05,20.12.05,1113000000,103,3
20,10,18,20.10.18,1150000000,106,14
20,10,09,20.10.09,1145000000,103,10
20,09,19,20.09.19,1050000000,101,2
20,09,01,20.09.01,119000000,106,9
20,08,26,20.08.26,100000,101,2
20,08,01,20.08.01,1020000000,101,6
20,07,30,20.07.30,100000,106,14
20,07,04,20.07.04,950000000,101,4
20,06,27,20.06.27,915000000,101,1
20,06,27,20.06.27,1045000000,103,5
20,06,24,20.06.24,940000000,101,2
20,06,20,20.06.20,987000000,103,13
20,06,15,20.06.15,970000000,101,3
20,06,13,20.06.13,960000000,106,15
20,06,13,20.06.13,970000000,103,10
20,06,11,20.06.11,985000000,101,16
20,06,06,20.06.06,970000000,103,11
20,05,08,20.05.08,862500000,101,1
20,03,22,20.03.22,890000000,106,18
20,03,21,20.03.21,980000000,101,15
20,02,24,20.02.24,950000000,106,17
20,02,15,20.02.15,980000000,106,13
20,01,29,20.01.29,915000000,103,2
20,01,16,20.01.16,958000000,106,12
20,01,11,20.01.11,950000000,101,6
19,12,14,19.12.14,945000000,101,4
19,12,07,19.12.07,960000000,101,19
19,11,30,19.11.30,935000000,103,4
19,11,20,19.11.20,920000000,106,5
19,11,15,19.11.15,90000,103,18
19,11,11,19.11.11,818000000,101,1
19,11,10,19.11.10,90000,101,6
19,11,05,19.11.05,910000000,101,12
19,10,26,19.10.26,885000000,106,9
19,10,18,19.10.18,920000000,103,7
19,10,17,19.10.17,880000000,106,4
19,10,12,19.10.12,90000,103,15
19,10,08,19.10.08,895000000,101,15
19,10,06,19.10.06,815000000,101,1
19,10,05,19.10.05,899000000,101,12
19,09,20,19.09.20,890000000,106,10
19,08,13,19.08.13,810000000,103,1
19,08,03,19.08.03,895000000,103,4
19,08,01,19.08.01,90000,103,17
19,07,24,19.07.24,888000000,101,9
19,07,22,19.07.22,890000000,103,4
19,07,10,19.07.10,860000000,101,6
19,07,08,19.07.08,897000000,106,15
19,07,06,19.07.06,840000000,101,18
19,07,02,19.07.02,840000000,101,9
19,06,28,19.06.28,746000000,101,5
19,06,14,19.06.14,855000000,103,15
19,06,12,19.06.12,845000000,103,9
19,05,25,19.05.25,870000000,101,10
19,04,05,19.04.05,80000,101,13
18,12,03,18.12.03,915000000,103,14
18,12,01,18.12.01,828000000,101,5
18,10,18,18.10.18,80000,101,11
18,10,03,18.10.03,870000000,103,16
18,09,12,18.09.12,830000000,101,8
18,09,11,18.09.11,855000000,101,15
18,09,07,18.09.07,80000,101,6
18,08,20,18.08.20,798000000,106,16
18,08,11,18.08.11,790000000,101,11
18,08,11,18.08.11,773000000,106,12
18,08,11,18.08.11,795000000,101,13
18,08,08,18.08.08,779000000,106,19
18,08,06,18.08.06,769000000,101,11
18,08,06,18.08.06,790000000,101,13
18,08,04,18.08.04,775000000,101,5
18,05,12,18.05.12,775000000,101,9
18,05,01,18.05.01,780000000,101,16
18,05,01,18.05.01,784000000,103,19
18,03,11,18.03.11,765000000,103,6
18,03,09,18.03.09,795000000,103,8
18,02,22,18.02.22,720000000,101,10
18,02,08,18.02.08,70000,101,3
18,01,26,18.01.26,730000000,101,11
18,01,24,18.01.24,60000,101,1
18,01,21,18.01.21,70000,101,9
18,01,20,18.01.20,70000,106,16
18,01,17,18.01.17,620000000,101,1
18,01,05,18.01.05,645000000,106,5
17,12,04,17.12.04,675000000,106,9
17,11,21,17.11.21,674000000,106,7
17,10,25,17.10.25,667000000,103,19
17,10,20,17.10.20,640000000,106,5
